k,Epsilon,C_Threshold,DP_Best_Dev,Alg2_Time_sec,Alg4_Time_sec,Alg5_Time_sec
7,3.0,500,2159,160.881015,0.084268,0.078381
7,3.0,1000,2159,165.203783,0.082281,0.074889
7,3.0,1500,2159,162.80816,0.081339,0.07446
7,3.0,2000,2159,163.115652,0.081629,0.075259
7,3.0,2500,2159,144.81154,0.078813,0.0759
7,3.0,3000,2159,14.501095,0.083248,0.079203
7,3.0,3500,2159,14.046702,0.081093,0.078229
7,3.0,4000,2159,13.428617,0.082073,0.077111
7,3.0,4500,2159,12.84057,0.078063,0.072976
7,3.0,5000,2159,11.934091,0.078826,0.075633
