k,Epsilon,C_Base,C_Threshold,Alg2_Time_sec,Alg4_Time_sec,Alg5_Time_sec
4,2.0,15000,30000.0,0.018783,0.014995,0.015055
4,2.0,16000,32000.0,0.020242,0.015346,0.015048
4,2.0,17000,34000.0,0.020245,0.015428,0.01471
4,2.0,18000,36000.0,0.019811,0.016106,0.014692
4,2.0,19000,38000.0,0.021024,0.014393,0.014386
4,2.0,20000,40000.0,0.012154,0.014486,0.01438
4,2.0,21000,42000.0,0.012234,0.014391,0.014435
4,2.0,22000,44000.0,0.012241,0.014528,0.01432
4,2.0,23000,46000.0,0.012265,0.014575,0.015117
4,2.0,24000,48000.0,0.012833,0.014539,0.013956
4,2.0,25000,50000.0,0.012397,0.015122,0.014209
