k,Epsilon,C_Base,C_Threshold,Alg2_Time_sec,Alg4_Time_sec,Alg5_Time_sec
4,2.0,35000,70000.0,0.013285,0.007862,0.007422
4,2.0,36000,72000.0,0.013178,0.007731,0.00738
4,2.0,37000,74000.0,0.015572,0.007519,0.007398
4,2.0,38000,76000.0,0.005053,0.007471,0.007245
4,2.0,39000,78000.0,0.005137,0.007592,0.007234
4,2.0,40000,80000.0,0.005127,0.007632,0.007216
4,2.0,41000,82000.0,0.005122,0.007683,0.007318
4,2.0,42000,84000.0,0.005132,0.007624,0.007237
4,2.0,43000,86000.0,0.005094,0.007592,0.007292
4,2.0,44000,88000.0,0.005141,0.007552,0.007311
4,2.0,45000,90000.0,0.005558,0.007728,0.007249
