m,num_points,matrix_E_time,alg4_time,alg4_status,alg5_original_time,alg5_original_status,alg5_optimized_time,alg5_optimized_status
1000,4500,4.383134209,5.7275716249999995,Not Found,4.4015686249999995,Not Found,0.4884006660000004,Not Found
1500,6750,9.895404583,11.129062709,Not Found,10.089321583999997,Not Found,1.0980855000000034,Not Found
2000,9000,18.075062000000003,21.73544920799999,Not Found,18.494835124999994,Not Found,2.034218542000005,Not Found
2500,11250,28.78364695799999,33.511591041,Not Found,29.860667707999994,Not Found,3.126629124999994,Not Found
3000,13500,41.52556566599998,48.87672862499997,Not Found,41.829588959000034,Not Found,4.327213000000029,Not Found
3500,15750,55.18411466600003,66.84880404100005,Not Found,57.890129417000026,Not Found,5.891930500000058,Not Found
4000,18000,73.060998917,88.44212945799995,Not Found,75.19230616699997,Not Found,7.786660875000052,Not Found
4500,20250,91.989025083,113.7275276659999,Not Found,95.75734320799995,Not Found,10.108091207999905,Not Found
5000,22500,116.21072533300003,139.55163483299998,Not Found,125.10355916699996,Not Found,12.763687040999912,Not Found
5500,24750,140.27959683300014,155.79854854199993,Not Found,145.6068735409999,Not Found,14.613094290999925,Not Found
